id,name,type,url,description
kid002,KidneyCAN — Patient Advocacy & Resources,financial,https://www.kidneycan.org,"Patient advocacy, research support, and financial assistance navigation for kidney cancer patients across the United States."
liv001,American Liver Foundation — Patient Support Programs,financial,https://liverfoundation.org,"Financial assistance navigation, educational resources, and support services for liver cancer patients and those with liver disease across the U.S."
liv002,Liver Cancer Connect — Patient Community,mental,https://www.hepb.org/research-and-programs/liver/,"Peer support network and financial resource navigation for liver cancer patients and caregivers, including help finding assistance programs."
stom001,Debbie's Dream Foundation — Stomach Cancer Support,financial,https://www.debbiesdream.org,"Financial assistance, peer support, and educational resources specifically for stomach and gastric cancer patients and families."
stom002,No Stomach For Cancer — Patient Resources,financial,https://www.nostomachforcancer.org,"Support network, financial assistance navigation, and educational resources for stomach cancer patients and families with hereditary gastric cancer."
eso001,Esophageal Cancer Action Network — Patient Support,mental,https://www.ecan.org,"Peer support, financial assistance resources, and educational programs for esophageal cancer patients and survivors across the U.S."
eso002,Esophageal Cancer Education Foundation,financial,https://www.fightec.org,"Financial assistance, educational resources, and patient navigation for esophageal cancer patients seeking help with treatment costs."
test001,Testicular Cancer Foundation — Patient Support,financial,https://www.testicularcancer.org,"Financial assistance, peer support, and educational resources specifically for testicular cancer patients and survivors."
test002,TC-Cancer.com — Testicular Cancer Support Community,mental,https://forum.testicularcancersociety.org,Free peer support network connecting testicular cancer patients and survivors with others who have shared the same experience.
uter001,Foundation for Women's Cancer — Patient Resources,financial,https://www.foundationforwomenscancer.org,"Financial assistance navigation, educational resources, and support programs for uterine, endometrial, and other gynecologic cancer patients."
uter002,SHARE Cancer Support — Gynecologic Cancer Helpline,mental,https://www.sharecancersupport.org,"Free peer support helpline and support groups for uterine, ovarian, and other gynecologic cancer patients and survivors."
al001,Alabama Breast & Cervical Cancer Early Detection Program,medication,https://www.alabamapublichealth.gov/cancer,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Alabama women.
al002,Alabama Department of Public Health — Cancer Program,financial,https://www.alabamapublichealth.gov/cancercontrol/index.html,"State cancer control resources, patient navigation referrals, and financial assistance guidance for Alabama residents with any cancer diagnosis."
ak001,Alaska Native Tribal Health Consortium — Cancer Care,financial,https://www.anthc.org,"Cancer screening, treatment support, and financial navigation for Alaska residents including Alaska Native and rural communities."
az001,Arizona Cancer Coalition — Patient Resources,financial,https://www.arizonacancerfoundation.org,"Connects Arizona cancer patients to local financial assistance, transportation, and support programs statewide."
ar001,Arkansas Breast Cancer Control Program,medication,https://www.healthy.arkansas.gov/programs-services/topics/breast-cervical-cancer,Free breast cancer screenings and follow-up diagnostic services for uninsured or underinsured Arkansas women.
ar002,Arkansas Department of Health — Cancer Services,financial,https://www.healthy.arkansas.gov/programs-services/topics/cancer,"State cancer control programs, patient navigation, and financial assistance referrals for Arkansas residents with any cancer diagnosis."
ca001,Every Woman Counts — California Free Cancer Screening,medication,https://www.dhcs.ca.gov/services/cancer,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured California women.
ca002,Sweet Geeks Foundation,financial,https://www.sweetgeeksfoundation.org/grant-application-1,Research-backed programs and resources for California cancer patients including screening navigation and financial counseling.
co001,Colorado Cancer Screening Program,medication,https://cdphe.colorado.gov/cancer,Free or low-cost cancer screenings and diagnostic services for uninsured and underinsured Colorado residents.
ct001,Connecticut Breast & Cervical Cancer Early Detection,medication,https://portal.ct.gov/dph/cedpp/connecticut-breast-and-cervical-cancer-early-detection-program?language=en_US,Free breast and cervical cancer screenings and diagnostic services for Connecticut women with low incomes and little or no health insurance.
ct002,Connecticut Department of Public Health — Cancer Program,financial,https://portal.ct.gov/dph/cedpp/connecticut-comprehensive-cancer-control-program?language=en_US,"State cancer control programs, patient navigation, and financial assistance referrals for Connecticut residents with any cancer diagnosis."
de001,Delaware Cancer Consortium — Patient Navigation,financial,https://dhss.delaware.gov/dhss/dph/cancer.html,Patient navigation and financial assistance resources for Delaware cancer patients connecting them to local and state support programs.
fl001,Florida Breast & Cervical Cancer Early Detection Program,medication,https://www.floridahealth.gov/diseases-and-conditions/cancer,Free breast and cervical cancer screenings and follow-up services for uninsured Florida women through the state health department.
fl002,Florida Department of Health — Cancer Support Programs,financial,https://www.floridahealth.gov/diseases-and-conditions/cancer,"State cancer patient navigation, financial assistance referrals, and support resources for Florida residents with any cancer diagnosis."
ga001,Georgia Cancer State Aid Program,financial,https://dph.georgia.gov/cancer-aid,"Free cancer screening, diagnosis, and treatment services for uninsured or underinsured Georgia residents who meet income guidelines."
hi001,Hawaii Cancer Consortium — Patient Support,financial,https://health.hawaii.gov/cancer,"Cancer screening programs, financial navigation, and local support resources for Hawaii cancer patients across all islands."
id001,Idaho Breast & Cervical Health Program,medication,https://healthandwelfare.idaho.gov/services-programs/medicaid-health/womens-health-fit-fall-quit-smoking/womens-health-check,Free breast and cervical cancer screenings and diagnostic services for uninsured or low-income Idaho women.
il001,Illinois Comprehensive Cancer Control Program,financial,https://dph.illinois.gov/topics-services/diseases-and-conditions/cancer,"State-funded cancer prevention, screening, and patient support resources for Illinois residents with cancer diagnoses."
in001,Indiana State Department of Health — Cancer Programs,medication,https://www.in.gov/health/cdpc/cancer/,Free breast and cervical cancer screenings and cancer control resources for uninsured and underinsured Indiana residents.
ia001,Iowa Cancer Consortium — Patient Resources,financial,https://canceriowa.org/,"Financial assistance referrals, patient navigation, and cancer support resources across the state of Iowa."
ks001,Kansas Early Detection Works — Cancer Screening,medication,https://www.kdheks.gov/cancer,Free breast and cervical cancer screenings for uninsured or underinsured Kansas women through the state health department.
ky001,Kentucky Women's Cancer Screening Program,medication,https://www.chfs.ky.gov/agencies/dph/dwh/Pages/cancerscreening.aspx,Free breast and cervical cancer screenings and follow-up diagnostic services for uninsured or underinsured Kentucky women.
la001,Louisiana Breast & Cervical Health Program,medication,https://ldh.la.gov/page/breast-cervical-health-program,Free breast and cervical cancer screenings and diagnostic services for uninsured Louisiana women.
me001,Maine Breast & Cervical Health Program,medication,https://www.maine.gov/dhhs/mecdc/diseases-conditions/chronic-conditions/breast-and-cervical-screenings,Free breast and cervical cancer screenings and follow-up services for Maine women with no or limited insurance coverage.
md001,Maryland Cancer Fund — Financial Assistance,financial,https://health.maryland.gov/phpa/cancer/pages/mcf_home.aspx,State-funded financial assistance for Maryland cancer patients who cannot afford treatment-related costs.
ma001,Massachusetts Breast & Cervical Cancer Initiative,medication,https://www.mass.gov/massachusetts-breast-and-cervical-cancer-program-mbccp,Free or reduced-cost breast and cervical cancer screenings for uninsured or underinsured Massachusetts women.
mi001,Michigan Breast & Cervical Cancer Control Program,medication,https://www.michigan.gov/mdhhs/keep-mi-healthy/chronicdiseases/cancer/bc3np,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Michigan women.
mn001,Minnesota SAGE Program — Cancer Screening,medication,https://www.health.state.mn.us/diseases/cancer/sage,"Free breast, cervical, and colorectal cancer screenings for uninsured or underinsured Minnesota residents."
ms001,Mississippi Breast & Cervical Cancer Early Detection Program,medication,"https://msdh.ms.gov/msdhsite/index.cfm/41,0,103,html",Free breast and cervical cancer screenings for uninsured or low-income Mississippi women through the state health department.
mo001,Missouri Show Me Healthy Women Program,medication,https://health.mo.gov/living/healthcondiseases/chronic/cancer/,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Missouri women.
mt001,Montana Cancer Control Program,financial,https://dphhs.mt.gov/publichealth/cancer,Cancer screening programs and patient navigation services for Montana residents with cancer diagnoses.
ne001,Nebraska Every Woman Matters — Cancer Screening,medication,https://dhhs.ne.gov/Pages/Every-Woman-Matters.aspx,"Free breast, cervical, and colorectal cancer screenings for uninsured or underinsured Nebraska women and men."
nv001,Nevada Comprehensive Cancer Control Program,financial,https://www.dpbh.nv.gov/programs/chronic-diseases/comprehensive-cancer/,"State cancer screening programs, patient navigation, and financial assistance referrals for Nevada cancer patients."
nh001,New Hampshire Cancer Program — Screening & Support,medication,https://www.dhhs.nh.gov/programs-services/disease-prevention/cancer,Free breast and cervical cancer screenings and patient support resources for uninsured New Hampshire women.
nj001,New Jersey Cancer Education & Early Detection Program,medication,https://www.nj.gov/health/ces/public/resources/,"Free breast, cervical, and colorectal cancer screenings for uninsured or underinsured New Jersey residents."
nm001,New Mexico Breast & Cervical Cancer Program,medication,https://www.nmhealth.org/about/phd/pchb/bcc/,Free breast and cervical cancer screenings and follow-up services for uninsured or low-income New Mexico women.
ny001,New York State Cancer Services Program,medication,https://www.health.ny.gov/diseases/cancer,Free cancer screenings and diagnostic services for uninsured and underinsured New York State residents.
nc001,North Carolina Breast & Cervical Cancer Control Program,medication,https://www.dph.ncdhhs.gov/programs/chronic-disease-and-injury/cancer-prevention-and-control-branch,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured North Carolina women.
nd001,North Dakota Women's Way — Cancer Screening,medication,https://www.hhs.nd.gov/health/women/womens-way,Free breast and cervical cancer screenings and diagnostic follow-up for uninsured or underinsured North Dakota women.
oh001,Ohio Breast & Cervical Cancer Project,medication,https://odh.ohio.gov/know-our-programs/breast-cervical-cancer-project/welcome-to,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Ohio women.
ok001,Oklahoma Breast & Cervical Cancer Program,medication,https://oklahoma.gov/ohca/individuals/programs/oklahoma-cares.html,Free breast and cervical cancer screenings and follow-up diagnostic services for uninsured Oklahoma women.
or001,Oregon Breast & Cervical Cancer Program,medication,https://www.oregon.gov/oha/ph/diseasesconditions/chronicdisease/cancer/,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Oregon women.
pa001,Pennsylvania Breast & Cervical Cancer Early Detection Program,medication,https://www.pa.gov/agencies/health/diseases-conditions/cancer/pa-bccedp,Free breast and cervical cancer screenings and diagnostic follow-up for uninsured or underinsured Pennsylvania women.
ri001,Rhode Island Breast & Cervical Cancer Early Detection Program,medication,https://health.ri.gov/cancer,Free breast and cervical cancer screenings for uninsured or low-income Rhode Island women.
sc001,South Carolina Best Chance Network — Cancer Screening,medication,https://dph.sc.gov/diseases-conditions/diseases/cancer/breast-cancer,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured South Carolina women.
sd001,South Dakota Breast & Cervical Cancer Screening Program,medication,https://doh.sd.gov/topics/diseases/chronic-disease/cancer/breast-and-cervical-cancer-control-all-women-count/,Free breast and cervical cancer screenings for uninsured or low-income South Dakota women.
tn001,Tennessee Breast & Cervical Screening Program,medication,https://www.tn.gov/health/health-program-areas/fhw/tennessee-comprehensive-cancer-control-program.html,Free breast and cervical cancer screenings and follow-up diagnostic services for uninsured Tennessee women.
tx001,Texas Oncology Foundation,financial,"https://texasoncologyfoundation.org/financial-aid/#:~:text=The%20Patient%20Financial%20Assistance%20program,Other%20Eligible%20Expenses","State-funded assistance for Texas residents facing cancer-related financial hardship, covering utilities, rent, food, and transportation during treatment."
tx002,Texas DSHS — Breast & Cervical Cancer Services,medication,https://www.hhs.texas.gov/providers/health-services-providers/breast-cervical-cancer-services-providers,Free or low-cost breast cancer screening and treatment services for uninsured or underinsured Texas women through the state health department.
tx003,UT MD Anderson — Financial Counseling Services,financial,https://www.mdanderson.org,"Free financial counseling and assistance navigating insurance, payment plans, and assistance programs for MD Anderson cancer patients."
tx004,Texas 2-1-1 — Local Cancer Support Referrals,financial,https://www.211texas.org,"Free statewide helpline connecting Texans with local cancer support services, food banks, transportation, and financial assistance programs."
ut001,Utah Breast & Cervical Cancer Screening Program,medication,https://cancer.utah.gov/about-uccp/,Free breast and cervical cancer screenings for uninsured or low-income Utah women through the state health department.
vt001,Vermont Cancer Screening Program,medication,https://www.healthvermont.gov/cancer,"Free breast, cervical, and colorectal cancer screenings for uninsured or low-income Vermont residents."
va001,Virginia's Breast & Cervical Cancer Control Program,medication,https://www.vdh.virginia.gov/cancer,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Virginia women.
wa001,Washington State Breast & Cervical Health Program,medication,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/cancer/breast-cervical-and-colon-health-program,Free breast and cervical cancer screenings and follow-up diagnostic services for uninsured Washington women.
wv001,West Virginia Breast & Cervical Cancer Screening Program,medication,https://dhhr.wv.gov/bccsp/Pages/default.aspx,Free breast and cervical cancer screenings for uninsured or low-income West Virginia women.
wi001,Wisconsin Well Woman Program — Cancer Screening,medication,https://www.dhs.wisconsin.gov/cancer/index.htm,Free breast and cervical cancer screenings and diagnostic services for uninsured or underinsured Wisconsin women.
wy001,Wyoming Cancer Program — Screening & Patient Support,financial,https://health.wyo.gov/publichealth/cancer,Free cancer screenings and patient navigation services for Wyoming residents with cancer diagnoses.
dc001,DC Cancer Consortium — Patient Resources,financial,https://dchealth.dc.gov/service/dc-cancer-coalition,"Cancer screening programs, financial navigation, and local support resources for Washington D.C. cancer patients."
id002,Idaho Department of Health — Cancer Patient Support,financial,https://healthandwelfare.idaho.gov/dhw-voice/cancer-patients-have-opportunity-help-improve-cancer-care-idaho,State cancer control programs and patient navigation services connecting Idaho residents to local financial and treatment support.
in002,Indiana Cancer Consortium — Patient Resources,financial,https://www.in.gov/health/cdpc/cancer/,Patient navigation and financial assistance referrals for Indiana cancer patients through the state's cancer control network.
ks002,Kansas Cancer Partnership — Patient Support,financial,https://www.kdheks.gov/cancer,Cancer patient navigation and financial assistance referrals for Kansas residents through the state cancer control program.
ky002,Kentucky Cancer Program — Patient Resources,financial,https://www.chfs.ky.gov/agencies/dph/dwh/Pages/cancerscreening.aspx,State cancer control resources and patient navigation for Kentucky residents with any cancer diagnosis.
la002,Louisiana Cancer Control Program — Patient Support,financial,https://ldh.la.gov/page/breast-cervical-health-program,Cancer patient navigation and financial assistance referrals for Louisiana residents through the state health department.
me002,Maine Cancer Foundation — Patient Resources,financial,https://www.mainecancerfoundation.org,"Cancer patient support, financial navigation, and local resource referrals for Maine residents with any cancer diagnosis."
ma002,Massachusetts Cancer Consortium — Patient Support,financial,https://www.mass.gov/orgs/massachusetts-comprehensive-cancer-coalition,Cancer patient navigation and financial assistance referrals for Massachusetts residents with any cancer diagnosis.
mi002,Michigan Cancer Consortium — Patient Resources,financial,https://www.michigan.gov/mdhhs/keep-mi-healthy/chronicdiseases/cancer/bc3np,Cancer patient navigation and financial assistance referrals for Michigan residents through the state cancer control program.
mn002,Minnesota Cancer Alliance — Patient Support,financial,https://www.health.state.mn.us/diseases/cancer,"Cancer patient navigation, financial assistance referrals, and local resource connections for Minnesota residents with any cancer type."
ms002,Mississippi Cancer Control Program — Patient Resources,financial,"https://msdh.ms.gov/page/43,0,292.html",Cancer patient navigation and financial assistance referrals for Mississippi residents through the state health department.
mo002,Missouri Cancer Coalition — Patient Support,financial,https://health.mo.gov/living/healthcondiseases/chronic/cancer/,Cancer patient navigation and financial assistance referrals for Missouri residents with any cancer diagnosis.
ne002,Nebraska Cancer Coalition — Patient Resources,financial,https://dhhs.ne.gov/Pages/Every-Woman-Matters.aspx,Cancer patient navigation and financial assistance referrals for Nebraska residents through the state health department.
nh002,New Hampshire Cancer Coalition — Patient Support,financial,https://www.dhhs.nh.gov/programs-services/disease-prevention/cancer,Cancer patient navigation and financial assistance referrals for New Hampshire residents with any cancer diagnosis.
nj002,New Jersey Cancer Coalition — Patient Resources,financial,https://www.nj.gov/health/ces/public/resources/,Cancer patient navigation and financial assistance referrals for New Jersey residents with any cancer diagnosis.
nm002,New Mexico Cancer Council — Patient Support,financial,https://www.nmhealth.org/about/phd/pchb/ccp/,Cancer patient navigation and financial assistance referrals for New Mexico residents with any cancer diagnosis.
nc002,North Carolina Cancer Control — Patient Resources,financial,https://www.dph.ncdhhs.gov/programs/chronic-disease-and-injury/cancer-prevention-and-control-branch,Cancer patient navigation and financial assistance referrals for North Carolina residents with any cancer diagnosis.
nd002,North Dakota Cancer Control Program — Patient Support,financial,https://www.hhs.nd.gov/health/community/comp-cancer,Cancer patient navigation and financial assistance referrals for North Dakota residents with any cancer diagnosis.
oh002,Ohio Cancer Incidence Surveillance System — Patient Support,financial,https://odh.ohio.gov/know-our-programs/ohio-cancer-incidence-surveillance-system,Cancer patient navigation and financial assistance referrals for Ohio residents with any cancer diagnosis.
ok002,Oklahoma Cancer Coalition — Patient Resources,financial,https://oklahoma.gov/occn.html,Cancer patient navigation and financial assistance referrals for Oklahoma residents with any cancer diagnosis.
or002,Oregon Cancer Coalition — Patient Support,financial,https://www.oregon.gov/oha/ph/diseasesconditions/chronicdisease/cancer/,Cancer patient navigation and financial assistance referrals for Oregon residents with any cancer diagnosis.
pa002,Pennsylvania Cancer Control Program — Patient Support,financial,https://www.pa.gov/agencies/health/diseases-conditions/cancer/pacccp,Cancer patient navigation and financial assistance referrals for Pennsylvania residents with any cancer diagnosis through the state health department.
ri002,Rhode Island Cancer Council — Patient Resources,financial,https://health.ri.gov/cancer,Cancer patient navigation and financial assistance referrals for Rhode Island residents with any cancer diagnosis.
sc002,South Carolina Cancer Alliance — Patient Support,financial,https://www.sccancer.org/,Cancer patient navigation and financial assistance referrals for South Carolina residents with any cancer diagnosis.
sd002,South Dakota Cancer Control Program — Patient Resources,financial,https://doh.sd.gov/topics/diseases/chronic-disease/cancer/,Cancer patient navigation and financial assistance referrals for South Dakota residents with any cancer diagnosis.
tn002,Tennessee Cancer Coalition — Patient Support,financial,https://www.tn.gov/health/health-program-areas/fhw/tennessee-comprehensive-cancer-control-program.html,Cancer patient navigation and financial assistance referrals for Tennessee residents with any cancer diagnosis.
ut002,Utah Cancer Control Program — Patient Resources,financial,https://utahcancercoalition.org/,Cancer patient navigation and financial assistance referrals for Utah residents with any cancer diagnosis.
vt002,Vermont Cancer Control Program — Patient Support,financial,https://www.healthvermont.gov/cancer,Cancer patient navigation and financial assistance referrals for Vermont residents with any cancer diagnosis.
va002,Virginia Cancer Coalition — Patient Resources,financial,https://www.vdh.virginia.gov/cancer,Cancer patient navigation and financial assistance referrals for Virginia residents with any cancer diagnosis.
wa002,Washington State Cancer Coalition — Patient Support,financial,https://doh.wa.gov/you-and-your-family/illness-and-disease-z/cancer/about-comprehensive-cancer-control,Cancer patient navigation and financial assistance referrals for Washington State residents with any cancer diagnosis.
wv002,West Virginia Cancer Coalition — Patient Resources,financial,https://dhhr.wv.gov/hpcd/FocusAreas/wvcancer/pages/default.aspx,Cancer patient navigation and financial assistance referrals for West Virginia residents with any cancer diagnosis.
wi002,Wisconsin Cancer Council — Patient Support,financial,https://www.dhs.wisconsin.gov/cancer/index.htm,Cancer patient navigation and financial assistance referrals for Wisconsin residents with any cancer diagnosis.
il002,Illinois CancerCare Foundation — Patient Assistance,financial,https://illinoiscancercarefoundation.org/what-we-do/patient-care,"Financial assistance for central and western Illinois cancer patients including transportation gas cards, lymphedema supplies, and holiday meal support."
